MATERIA,NOTA,2
metodos estadisticos,7.1,2
multimedia e interactividad ,8.3,2
guion cinematografico 2,7.5,2
modelado 3d organico,9.7,2
animacion 3d,8.9,2
videocomposicion dig ,9,2
ilum y text,8.1,2
